"배송년월일","송하인_시명","송하인_시코드","수하인_시명","수하인_시코드","수하인_구명","수하인_구코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20210801,제주특별자치도,50,서울특별시,11,은평구,11380,0,0,0,0,0,0,46,0,0,0,0
20210801,제주특별자치도,50,서울특별시,11,노원구,11350,0,0,0,0,0,0,51,0,0,0,0
20210801,제주특별자치도,50,서울특별시,11,도봉구,11320,0,0,0,0,0,0,41,0,0,0,0
20210801,제주특별자치도,50,서울특별시,11,강북구,11305,0,0,0,0,0,0,36,0,0,0,0
20210801,제주특별자치도,50,서울특별시,11,성북구,11290,0,0,0,0,0,0,39,0,0,0,0
20210801,인천광역시,28,서울특별시,11,동대문구,11230,3,22,0,8,32,6,165,14,56,24,41
20210801,인천광역시,28,서울특별시,11,중랑구,11260,6,31,0,8,19,0,161,5,61,36,37
20210801,인천광역시,28,서울특별시,11,성북구,11290,4,31,0,5,56,6,192,11,67,32,54
20210801,인천광역시,28,서울특별시,11,강북구,11305,3,18,0,10,19,0,104,4,51,20,15
20210801,인천광역시,28,서울특별시,11,도봉구,11320,3,21,0,14,17,0,124,3,49,25,19
20210801,인천광역시,28,서울특별시,11,노원구,11350,8,38,3,10,40,0,218,10,67,42,50
20210801,인천광역시,28,서울특별시,11,은평구,11380,3,34,0,11,43,4,222,7,90,47,50
20210801,부산광역시,26,서울특별시,11,중랑구,11260,0,0,0,0,62,0,0,0,3,0,0
20210801,부산광역시,26,서울특별시,11,동대문구,11230,0,0,0,0,0,0,0,0,0,0,0
20210801,부산광역시,26,서울특별시,11,광진구,11215,0,0,0,0,44,0,0,0,0,0,0
20210801,부산광역시,26,서울특별시,11,성동구,11200,0,0,0,0,4,0,0,0,0,0,0
20210801,부산광역시,26,서울특별시,11,용산구,11170,0,0,0,0,0,0,0,0,4,0,0
20210801,부산광역시,26,서울특별시,11,중구,11140,0,0,0,0,0,0,0,0,0,0,0
20210801,부산광역시,26,서울특별시,11,종로구,11110,0,0,0,0,3,0,0,0,0,0,0
20210801,광주광역시,29,서울특별시,11,강남구,11680,0,0,0,0,0,0,0,0,0,0,0
20210801,광주광역시,29,서울특별시,11,서초구,11650,0,0,0,0,0,0,0,0,0,0,0
20210801,광주광역시,29,서울특별시,11,관악구,11620,0,0,0,0,0,0,0,0,0,0,0
20210801,광주광역시,29,서울특별시,11,동작구,11590,0,0,0,0,0,0,0,0,0,0,3
20210801,광주광역시,29,서울특별시,11,영등포구,11560,0,0,0,0,0,0,0,0,0,0,0
20210801,광주광역시,29,서울특별시,11,금천구,11545,0,0,0,0,0,0,0,0,0,0,0
20210801,광주광역시,29,서울특별시,11,구로구,11530,0,0,0,0,0,0,0,0,0,0,5
20210801,광주광역시,29,서울특별시,11,강서구,11500,0,0,0,0,0,0,0,0,0,0,0
20210801,광주광역시,29,서울특별시,11,양천구,11470,0,0,0,0,4,0,0,0,0,0,0
20210801,광주광역시,29,서울특별시,11,마포구,11440,0,0,0,0,0,0,0,0,0,0,4
20210801,광주광역시,29,서울특별시,11,서대문구,11410,0,0,0,0,0,0,0,0,0,0,0
20210801,광주광역시,29,서울특별시,11,은평구,11380,0,0,0,0,0,0,0,0,0,0,0
20210801,광주광역시,29,서울특별시,11,노원구,11350,0,0,0,0,0,0,0,0,0,0,0
20210801,광주광역시,29,서울특별시,11,강북구,11305,0,0,0,0,0,0,0,0,0,0,0
20210801,광주광역시,29,서울특별시,11,성북구,11290,0,0,0,0,0,0,0,0,0,0,0
20210801,광주광역시,29,서울특별시,11,중랑구,11260,0,0,0,0,5,0,0,0,0,0,4
20210801,광주광역시,29,서울특별시,11,동대문구,11230,0,0,0,0,0,0,0,0,0,0,0
20210801,광주광역시,29,서울특별시,11,광진구,11215,0,0,0,0,0,0,0,0,0,0,0
20210801,광주광역시,29,서울특별시,11,성동구,11200,0,0,0,0,0,0,0,0,0,0,3
20210801,광주광역시,29,서울특별시,11,용산구,11170,0,0,0,0,0,0,0,0,0,0,0
20210801,인천광역시,28,서울특별시,11,서대문구,11410,6,22,0,6,26,0,193,16,46,35,40
20210801,인천광역시,28,서울특별시,11,마포구,11440,10,45,0,15,56,7,257,21,58,37,86
20210801,인천광역시,28,서울특별시,11,양천구,11470,10,36,0,11,44,6,194,16,72,44,49
20210801,인천광역시,28,서울특별시,11,강서구,11500,16,39,4,13,78,7,316,20,90,58,69
20210801,인천광역시,28,서울특별시,11,구로구,11530,7,13,0,5,55,3,199,12,75,32,36
20210801,인천광역시,28,서울특별시,11,금천구,11545,0,8,0,3,24,0,119,7,43,27,22
20210801,인천광역시,28,서울특별시,11,영등포구,11560,9,27,7,10,54,0,250,16,66,49,60
20210801,제주특별자치도,50,서울특별시,11,중랑구,11260,0,0,0,0,0,0,27,0,0,0,0
20210801,제주특별자치도,50,서울특별시,11,동대문구,11230,0,0,0,0,0,0,47,0,0,0,0
20210801,제주특별자치도,50,서울특별시,11,광진구,11215,0,0,0,0,0,0,35,0,0,0,0
20210801,제주특별자치도,50,서울특별시,11,성동구,11200,0,0,0,0,0,0,28,0,0,0,0
20210801,제주특별자치도,50,서울특별시,11,용산구,11170,0,3,0,0,0,0,30,0,0,0,0
20210801,제주특별자치도,50,서울특별시,11,중구,11140,0,0,0,0,0,0,15,0,0,0,0
20210801,제주특별자치도,50,서울특별시,11,종로구,11110,0,0,0,0,0,0,20,0,0,0,0
20210801,인천광역시,28,서울특별시,11,동작구,11590,8,25,4,11,58,6,907,11,62,36,68
20210801,인천광역시,28,서울특별시,11,관악구,11620,11,39,3,12,41,5,1369,8,84,53,72
20210801,인천광역시,28,서울특별시,11,서초구,11650,15,59,3,17,97,5,357,16,57,55,104
20210801,인천광역시,28,서울특별시,11,강남구,11680,19,52,6,22,127,9,461,24,113,88,158
20210801,서울특별시,11,서울특별시,11,강동구,11740,7,30,0,5,55,22,47,7,101,42,16
20210801,서울특별시,11,서울특별시,11,송파구,11710,5,47,0,22,69,28,69,15,197,54,43
